LAW_CAT_CD,ARREST_BORO,ARREST_DATE,counts
F,Q,2020-05-31,1393
F,M,2021-12-31,1389
M,Q,2021-12-31,1388
F,B,2018-04-30,1387
M,B,2020-09-30,1386
F,B,2020-10-31,1379
F,M,2021-06-30,1378
F,B,2019-02-28,1374
F,M,2020-12-31,1374
F,M,2021-07-31,1373
F,M,2019-12-31,1373
F,Q,2018-02-28,1371
M,Q,2021-05-31,1371
F,B,2020-01-31,1369
F,B,2018-11-30,1366
M,K,2020-09-30,1364
F,B,2018-09-30,1362
F,Q,2019-06-30,1360
M,Q,2020-10-31,1357
M,K,2021-04-30,1351
F,Q,2017-12-31,1347
F,K,2021-04-30,1345
F,B,2021-10-31,1339
F,Q,2021-12-31,1338
F,Q,2020-02-29,1336
F,M,2020-05-31,1332
F,B,2018-12-31,1328
M,B,2021-05-31,1327
F,Q,2021-10-31,1325
F,B,2019-06-30,1324
M,Q,2021-04-30,1320
F,Q,2020-10-31,1318
M,Q,2020-12-31,1316
F,B,2020-05-31,1312
F,Q,2021-03-31,1311
F,B,2021-08-31,1310
F,Q,2021-07-31,1307
F,B,2021-03-31,1306
M,Q,2021-02-28,1305
F,Q,2021-09-30,1302
F,B,2021-01-31,1298
F,M,2021-05-31,1297
F,Q,2018-12-31,1297
F,Q,2020-12-31,1296
F,B,2020-02-29,1294
F,B,2020-12-31,1287
M,Q,2020-11-30,1281
F,Q,2020-03-31,1281
F,B,2017-12-31,1273
F,Q,2019-11-30,1266
F,Q,2021-01-31,1255
F,Q,2021-11-30,1252
F,Q,2021-06-30,1247
F,Q,2020-09-30,1245
F,K,2020-04-30,1235
M,M,2020-09-30,1233
F,B,2021-11-30,1232
M,Q,2020-09-30,1219
M,B,2020-08-31,1214
F,B,2020-09-30,1213
F,B,2021-06-30,1207
F,B,2021-12-31,1203
F,Q,2019-02-28,1187
M,B,2021-04-30,1184
F,B,2020-03-31,1176
F,M,2020-09-30,1176
F,M,2021-02-28,1170
M,K,2020-08-31,1169
F,Q,2021-02-28,1166
F,B,2020-08-31,1156
F,K,2020-07-31,1146
F,Q,2021-05-31,1146
F,Q,2019-12-31,1145
F,M,2020-06-30,1128
F,M,2020-11-30,1128
M,B,2020-04-30,1126
M,Q,2020-08-31,1123
F,B,2021-02-28,1116
F,B,2019-12-31,1107
F,M,2021-04-30,1099
F,B,2020-11-30,1089
F,Q,2021-04-30,1058
M,B,2020-06-30,1056
M,K,2020-04-30,1038
F,Q,2020-08-31,1037
M,M,2020-06-30,1035
F,B,2021-05-31,1033
F,M,2020-08-31,1025
F,K,2020-06-30,1023
F,Q,2020-11-30,1018
M,M,2020-04-30,987
M,B,2020-07-31,979
M,M,2020-08-31,977
M,Q,2020-06-30,945
F,Q,2020-04-30,916
M,Q,2020-04-30,908
F,B,2020-06-30,895
F,B,2021-04-30,891
M,K,2020-07-31,883
M,Q,2020-07-31,882
F,Q,2020-07-31,871
F,B,2020-04-30,820
F,Q,2020-06-30,818
F,M,2020-04-30,808
F,B,2020-07-31,783
M,K,2020-06-30,777
M,M,2020-07-31,760
F,M,2020-07-31,741
M,S,2017-04-30,706
M,S,2017-03-31,686
M,S,2017-07-31,684
M,S,2017-08-31,683
M,S,2017-06-30,663
M,S,2017-05-31,655
M,S,2017-01-31,651
M,S,2018-04-30,648
M,S,2018-05-31,631
M,S,2017-10-31,623
M,S,2017-09-30,613
M,S,2018-07-31,609
M,S,2017-02-28,606
M,S,2018-01-31,601
M,S,2018-10-31,584
M,S,2018-02-28,584
M,S,2018-08-31,578
M,S,2018-03-31,567
M,S,2019-01-31,545
M,S,2019-07-31,531
M,S,2018-06-30,521
M,S,2019-03-31,517
M,S,2017-11-30,503
M,S,2018-09-30,503
M,S,2018-12-31,497
M,S,2019-02-28,496
M,S,2017-12-31,492
M,S,2018-11-30,477
M,S,2019-06-30,472
M,S,2019-05-31,469
M,S,2019-09-30,454
M,S,2019-04-30,451
M,S,2019-08-31,414
M,S,2021-03-31,404
M,S,2020-01-31,402
M,S,2020-02-29,397
M,S,2019-10-31,378
M,S,2021-10-31,374
F,S,2017-05-31,370
M,S,2021-01-31,368
M,S,2021-07-31,365
M,S,2021-06-30,363
M,S,2021-11-30,361
M,S,2019-11-30,361
M,S,2020-03-31,351
M,S,2021-09-30,350
F,S,2017-11-30,349
F,S,2019-01-31,346
F,S,2018-08-31,345
F,S,2017-07-31,344
M,S,2021-08-31,339
F,S,2018-10-31,337
F,S,2019-03-31,330
M,S,2019-12-31,328
F,S,2018-01-31,326
F,S,2019-07-31,324
M,S,2021-12-31,322
F,S,2017-06-30,322
M,S,2020-05-31,321
F,S,2017-10-31,317
F,S,2018-11-30,317
F,S,2019-05-31,315
M,S,2020-12-31,314
F,S,2017-01-31,313
F,S,2019-04-30,311
M,S,2021-02-28,311
F,S,2018-05-31,309
F,S,2020-10-31,309
F,S,2017-08-31,308
F,S,2017-04-30,300
F,S,2021-10-31,299
F,S,2018-06-30,297
F,S,2019-06-30,296
M,S,2021-05-31,292
F,S,2018-03-31,289
M,S,2020-10-31,288
F,S,2019-08-31,285
F,S,2021-03-31,284
F,S,2019-10-31,284
F,S,2019-02-28,284
F,S,2017-02-28,281
F,S,2017-12-31,279
F,S,2017-09-30,278
F,S,2018-07-31,278
F,S,2020-02-29,274
F,S,2017-03-31,272
F,S,2020-12-31,271
F,S,2019-11-30,270
F,S,2018-04-30,270
F,S,2020-05-31,269
F,S,2021-01-31,268
F,S,2018-09-30,268
F,S,2021-09-30,267
F,S,2021-08-31,267
F,S,2020-01-31,265
M,S,2020-09-30,262
F,S,2021-06-30,260
M,S,2020-11-30,260
F,S,2019-09-30,260
M,S,2021-04-30,259
F,S,2021-07-31,257
F,S,2020-03-31,255
F,S,2021-05-31,251
F,S,2021-11-30,251
F,S,2018-02-28,247
F,S,2020-11-30,245
F,S,2019-12-31,244
F,S,2018-12-31,242
F,S,2020-08-31,241
F,S,2020-09-30,240
F,S,2021-02-28,237
F,S,2021-04-30,223
M,S,2020-08-31,217
F,S,2021-12-31,216
F,S,2020-04-30,196
M,S,2020-04-30,191
F,S,2020-06-30,156
F,S,2020-07-31,152
M,S,2020-06-30,146
M,S,2020-07-31,143
